"Table A. Major series of the Employment Cost Index","","","","","","","",""
"[Percent change]","","","","","","","",""
"","","","","","","","",""
"Category","3-month, seasonally adjusted","","12-month, not seasonally adjusted, current dollar","","","12-month, not seasonally adjusted, constant dollar","",""
"","Jun.
2024","Sep.
2024","Sep.
2023","Jun.
2024","Sep.
2024","Sep.
2023","Jun.
2024","Sep.
2024"
"","","","","","","","",""
"Civilian workers(1)","","","","","","","",""
"Compensation(2)","0.9","0.8","4.3","4.1","3.9","0.6","1.1","1.4"
"Wages and salaries","0.9","0.8","4.6","4.2","3.9","0.9","1.2","1.4"
"Benefits","1","0.8","4.1","3.8","3.7","0.4","0.8","1.2"
"","","","","","","","",""
"Private industry","","","","","","","",""
"Compensation(2)","0.9","0.7","4.3","3.9","3.6","0.6","0.9","1.2"
"Wages and salaries","0.8","0.8","4.5","4.1","3.8","0.8","1.1","1.2"
"Benefits","0.8","0.7","3.9","3.5","3.3","0.2","0.5","0.8"
"Health benefits","–","–","1.9","3.6","3.4","–","–","–"
"","","","","","","","",""
"State and local government","","","","","","","",""
"Compensation(2)","1.2","1.1","4.8","4.9","4.7","1","1.9","2.2"
"Wages and salaries","1.1","1","4.8","5.1","4.6","1","2","2.1"
"Benefits","1.4","1.2","4.7","4.8","4.8","1","1.8","2.3"
"","","","","","","","",""
"Footnotes:","","","","","","","",""
"(1) Includes private industry and state and local government.","","","","","","","",""
"(2) Includes wages and salaries and benefits.","","","","","","","",""
"Note: All estimates in the table can be found in the public database at www.bls.gov/eci/data.htm. Dashes indicate data not available.","","","","","","","",""
