"PRIORITY","","DESCRIPTION","","","","","","STATUS","","","","","","",""
"GLO","REG","REGION","CUSTOMER","CITY","POS","PART TYPE","Part #","Date 1","Date 2","Date 3","$1","$2","$3","%","$ Total"
"1","1","EMEA","B","LONDON","LTN","A","121","Dec-12","May-13","Jun-13","$187,200","$0","$748,800","$0","$936,000"
"","","","","","","","","Dec-12","","","","","","",""
"2","1","EMEA","B","Vilnius","SD","B","127","Oct-12","Jan-13","Mar-13","$62,000","$346,320","$0","$1","$408,320"
"","","","","","","","","Oct-12","Jun-13","Dec-13","","","","",""
"2","1","EMEA","B","Madrid","SD","B","512","Nov-12","Mar-13","May-13","$93,000","$499,500","$0","$1","$592,500"
"","","","","","","","","Nov-12","","","","","","",""
"2","1","EMEA","G","Madrid","SD","A","619","Nov-12","Mar-13","Aug-13","$57,600","$0","$0","$1","$57,600"
"","","","","","","","","Nov-12","","","","","","",""
"2","2","EMEA","A","Luxembourg","SD","D","847","Jan-13","Jul-13","Jul-13","$90,000","$0","$0","$1","$90,000"
"","","","","","","","","Jan-13","","","","","","",""
"2","1","EMEA","C","Lisbon","SD","C","156","Nov-12","Feb-12","May-12","$45,000","$45,000","$0","$0","$90,000"
"","","","","","","","","Nov-12","","","","","","",""
"1","1","EMEA","E","HAMBURG","LTN","A","848","Jul-12","Dec-12","Mar-13","$379,260","$1,905,000","$0","$1","$2,284,260"
"","","","","","","","","Jul-12","Feb-13","Jun-13","","","","",""
"1","1","EMEA","Q","Istanbul","SD","D","265","Jun-13","Jul-13","Aug-13","$91,760","$479,520","$0","$1","$571,280"
"","","","","","","","","","","","","","","",""
"1","1","Asia","AirAsia","Malaysia","SD","COCKPIT","A320","Oct-11","Mar-13","Jun-13","$148,800","$397,800","$0","100%","$546,600"
"","","","","","","","","Oct-11","Jul-12","Jul-13","","","","",""
"2","1","Asia","Air China","Beijing","SD","FDW","AIRBUS","Jan-13","Apr-13","Mar-13","$0","$0","$540,000","100%","$540,000"
"","","","","","","","","Jan-13","Feb-13","Feb-13","","","","",""
"2","1","Asia","Air China","Beijing","SD","FDW","BOE","Feb-13","Aug-14","Mar-14","$44,640","$119,340","$0","50%","$163,980"
"","","","","","","","","Mar-13","Aug-14","Mar-14","","","","",""
"2","1","Asia","Air China","Beijing","SD","PAX","BOE","May-13","Feb-14","Jan-14","$411,744","$0","$1,205,900","50%","$1,617,644"
"","","","","","","","","Jul-13","Feb-14","Jan-14","","","","",""
"","1","Asia","Sichuan Airlines","Chengdu","SD","COCKPIT","A320","Sep-12","Feb-13","Jun-13","$0","$0","$18,000","30%","$18,000"
"","","","","","","","","Sep-12","Feb-13","Jun-13","","","","",""
"","1","Asia","Korean Air","Seoul","SD","COCKPIT","BOE & AIRBUS","Oct-11","Apr-12","Apr-13","$246,698","$0","$280,988","30%","$527,686"
"","","","","","","","","Oct-11","Apr-12","Apr-13","","","","",""
"","1","Asia","ANA","Tokyo","GKN","COCKPIT PMA","B767/777","Oct-12","May-14","Dec-13","$0","$0","$151,470","30%","$151,470"
"","","","","","","","","Oct-12","May-14","Dec-13","","","","",""
"2","2","Asia","China Airlines","Taipei","SD","PAX","BOE","Apr-13","Nov-13","Nov-13","$150,000","$0","$0","50%","$150,000"
"","","","","","","","","Apr-13","Nov-13","Nov-13","","","","",""
"2","2","Asia","Malaysia Airlines","Malaysia","SD","FDW & PAX","B747","Feb-13","Mar-14","Nov-13","$76,880","$206,000","$0","50%","$282,880"
"","","","","","","","","Feb-13","Mar-14","Nov-13","","","","",""
"2","2","Asia","Hainan Airlines","Hainan","SD","COCKPIT","B737","Mar-13","Sep-13","Sep-13","$141,750","$0","$121,500","75%","$263,250"
"","","","","","","","","Mar-13","Sep-13","Sep-13","","","","",""
"1","1","NA","DELTA","ATLANTA","GG","COCKPIT","A320","Jan-13","Jun-13","Jun-13","$347,200","$644,800","$0","75%","$992,000"
"","","","","","","","","Jan-13","","","","","","",""
"1","1","NA","ALASKA","SEATTLE","SD","COCKPIT","737 #2","Sep-12","Dec-12","Mar-13","$200,000","$0","$0","80%","$200,000"
"","","","","","","","","Sep-12","Dec-12","May-13","","","","",""
"1","2","LA","COPA","PANAMA CITY","SD","COCKPIT","737","Mar-13","Jul-14","Sep-14","$250,800","$0","$38,760","50%","$289,560"
"","","","","","","","","Mar-13","","","","","","",""
"1","2","NA","UPS","LOUISVILLE","GG","COCKPIT","ALL FDW","May-13","Sep-13","Jan-14","","","","75%",""
"","","","","","","","","","","","","","","",""
"2","1","LA","AEROMEXICO","MEXICO CITY","SD","COCKPIT","757/767/777","Jun-12","   ","Jun-13","$43,400","$0","$69,720","33%","$113,120"
"","","","","","","","","Jun-12","Jan-13","","","","","",""
