"Table A2: Estimated odds ratios from logistic regression of employment ","","","","","","Contents"
"","","","","","",""
"","(1) All","(2) Male","(3) Female","(4) All","(5) Male","(6) Female"
"","","","","","",""
"Religious affiliation (omitted category Christian)","","","","","",""
"No answer","0.793***","0.661***","1.042","1.123***","0.992","1.511***"
"","(0.015)","(0.015)","(0.032)","(0.021)","(0.024)","(0.048)"
"No Religion","0.852***","0.896***","0.810***","0.936***","0.955***","0.921***"
"","(0.002)","(0.002)","(0.002)","(0.002)","(0.003)","(0.003)"
"Buddhist","0.990","1.519***","0.750***","1.084***","1.390***","1.002"
"","(0.015)","(0.041)","(0.014)","(0.017)","(0.039)","(0.019)"
"Hindu","0.747***","1.085***","0.522***","0.683***","0.802***","0.618***"
"","(0.005)","(0.011)","(0.005)","(0.006)","(0.010)","(0.007)"
"Jewish","1.237***","1.295***","1.184***","0.970*","1.073***","0.884***"
"","(0.019)","(0.027)","(0.027)","(0.015)","(0.023)","(0.020)"
"Muslim","0.376***","0.519***","0.245***","0.554***","0.601***","0.470***"
"","(0.001)","(0.002)","(0.001)","(0.003)","(0.005)","(0.003)"
"Sikh","0.637***","0.681***","0.595***","0.669***","0.557***","0.799***"
"","(0.006)","(0.009)","(0.008)","(0.007)","(0.009)","(0.013)"
"Other","0.865***","1.129***","0.669***","0.823***","1.074***","0.626***"
"","(0.006)","(0.012)","(0.007)","(0.006)","(0.012)","(0.006)"
"Age","","","","1.209***","1.257***","1.160***"
"","","","","(0.001)","(0.001)","(0.001)"
"Age squared","","","","0.998***","0.997***","0.998***"
"","","","","(0.000)","(0.000)","(0.000)"
"Female","","","","0.943***","",""
"","","","","(0.002)","",""
"Marital status (omitted category - Single)","","","","","",""
"Married, living with spouse","","","","2.567***","3.696***","1.762***"
"","","","","(0.007)","(0.015)","(0.007)"
"Married, separated","","","","1.101***","1.288***","0.986*"
"","","","","(0.007)","(0.012)","(0.008)"
"Divorced","","","","1.491***","1.705***","1.282***"
"","","","","(0.007)","(0.012)","(0.008)"
"Widowed","","","","1.251***","1.454***","0.985"
"","","","","(0.012)","(0.025)","(0.012)"
"Civil partnership","","","","1.411***","1.917***","1.121***"
"","","","","(0.033)","(0.071)","(0.035)"
"Highest qualification held (omitted category – No qualifications)","","","","","",""
"Degree or equivalent","","","","2.912***","2.554***","3.512***"
"","","","","(0.011)","(0.013)","(0.021)"
"Higher education","","","","2.566***","2.592***","2.696***"
"","","","","(0.013)","(0.018)","(0.020)"
"A level or equivalent","","","","2.504***","2.419***","2.733***"
"","","","","(0.010)","(0.012)","(0.017)"
"GCSE A*-C or equivalent","","","","1.654***","1.771***","1.610***"
"","","","","(0.006)","(0.009)","(0.009)"
"Other qualification","","","","1.246***","1.197***","1.369***"
"","","","","(0.005)","(0.006)","(0.009)"
"No answer","","","","2.273***","2.371***","1.917***"
"","","","","(0.049)","(0.064)","(0.071)"
"Don’t know","","","","2.140***","1.956***","2.581***"
"","","","","(0.016)","(0.018)","(0.034)"
"Government Office Region (omitted category – North East) ","","","","","",""
"North West","","","","1.350***","1.520***","1.160***"
"","","","","(0.007)","(0.010)","(0.009)"
"Merseyside","","","","1.714***","1.731***","1.672***"
"","","","","(0.014)","(0.018)","(0.021)"
"Yorkshire and Humberside","","","","1.290***","1.504***","1.055***"
"","","","","(0.007)","(0.010)","(0.008)"
"East Midlands","","","","1.272***","1.452***","1.079***"
"","","","","(0.007)","(0.010)","(0.009)"
"West Midlands","","","","1.269***","1.510***","1.020***"
"","","","","(0.006)","(0.010)","(0.008)"
"Eastern","","","","1.599***","1.921***","1.283***"
"","","","","(0.008)","(0.013)","(0.010)"
"London","","","","1.235***","1.414***","1.034***"
"","","","","(0.006)","(0.009)","(0.008)"
"South East","","","","1.514***","1.808***","1.224***"
"","","","","(0.007)","(0.012)","(0.009)"
"South West","","","","1.684***","2.054***","1.330***"
"","","","","(0.009)","(0.015)","(0.011)"
"Wales","","","","1.211***","1.258***","1.167***"
"","","","","(0.007)","(0.009)","(0.010)"
"Ethnicity (omitted category – White)","","","","","",""
"No answer","","","","1.145***","4.048***","0.415***"
"","","","","(0.043)","(0.312)","(0.018)"
"Mixed/multiple ethnic groups","","","","0.745***","0.680***","0.821***"
"","","","","(0.005)","(0.006)","(0.008)"
"Asian / Asian British","","","","0.730***","0.844***","0.622***"
"","","","","(0.004)","(0.007)","(0.005)"
"Black / Black British","","","","0.480***","0.497***","0.469***"
"","","","","(0.002)","(0.003)","(0.003)"
"Chinese","","","","0.517***","0.446***","0.571***"
"","","","","(0.006)","(0.007)","(0.009)"
"Arab","","","","0.262***","0.276***","0.228***"
"","","","","(0.003)","(0.004)","(0.004)"
"Other","","","","0.706***","0.781***","0.625***"
"","","","","(0.005)","(0.008)","(0.006)"
"Constant","26.015***","24.627***","27.474***","0.171***","0.078***","0.370***"
"","(0.038)","(0.050)","(0.057)","(0.002)","(0.001)","(0.005)"
"Number of Observations (thousands)","28793","15237","13557","28793","15237","13557"
"Other Controls in the Model","No","No","No","Yes","Yes","Yes"
"","","","","","",""
"Note – standard errors are in parenthesis. *** p<0.01, ** p<0.05, * p<0.1","","","","","",""
