"To be completed by","Status","Address","Job Description","Purpose","Type","Suggested","Manager"
"2016/1/13","Contractor Assigned","Albert Terrace 15, Bacup, OL13 8BJ","Tenant wants bigger bannister, obtained quote £110 and given go ahead.","Repair","UNDECIDED","",""
"","Contractor Assigned","Albert Terrace 15, Bacup, OL13 8BJ","Tenant said brown patch & damp in front bedroom from roof when rains heavy and bathroom wall stained, Leigh to send in report ","Repair","Roofer","","managar 1"
"","Rejected","Albert Terrace 15, Bacup, OL13 8BJ","bathroom has previous moisture in walls and told tenant to put dehumidifier on, which she is doing and wash walls down until moisture goes.","Repair","MONITOR","","managar 1"
"","Contractor Assigned","Albert Terrace 15, Bacup, OL13 8BJ","Leigh also has to go back and check chimney stack on a dry day as there is a definitely a leak on the stack and to seal a gutter which is leaking at the back","Repair","Roofer","","managar 1"
"","Contractor Assigned","Altham St 6, Padiham, BB12 8QR","(Neighbour No 8  complains of damp says coming from under floor to the right of chimney breast in front room ( now vacant) )","Repair","Roofer","","managar 1"
"","Contractor Assigned","Altham St 6, Padiham, BB12 8QR","Water penetrating left front broom ciling, seems from neigbour chimeny number 4","Repair","Roofer","","managar 1"
"","Contractor Assigned","Altham St 6, Padiham, BB12 8QR","Left Front  Bedroom  window may need replacing","Repair","Joiner","","managar 1"
"","Work Commenced","Altham St 6, Padiham, BB12 8QR","Nigel to paint covings","Repair","Decorator","","managar 1"
"","Needs pre-inspection","Altham St 6, Padiham, BB12 8QR","Sent Cash & Carry to replace lino in kitchen.","Repair","Carpet fitter","","managar 1"
"","Contractor Assigned","Altham St 6, Padiham, BB12 8QR","Electric socket (in front room?) is loose,","Repair","Electrician","","managar 1"
"","Contractor Assigned","Altham St 6, Padiham, BB12 8QR","Bathroom window not shutting – Needs new handle","Repair","Joiner","","managar 1"
"","Contractor Assigned","Altham St 6, Padiham, BB12 8QR","Oily substance leaking  (in bathroom?) from ceiling.","Repair","Roofer","","managar 1"
"","Work Commenced","Altham St 6, Padiham, BB12 8QR","Bath panel needs repairing / replacing","Repair","General","","managar 1"
"","Contractor Finished","Altham St 6, Padiham, BB12 8QR","Needs smoke detectors & co.","Repair","General","","managar 1"
"","Needs Post-inspection","Altham St 6, Padiham, BB12 8QR","   leak in front bedroom – Leigh has dealt with board in loft but says we need to monitor as next door’s (No 4) chimney is defective","Repair","MONITOR","","managar 1"
"","Complete","Bold St 21, Bacup, LANCS, OL13 9QR","Rubbish in bins to be emptied (or to put on road for council to empty)","","UNDECIDED","","managar 1"
"","Complete","Bold St 21, Bacup, LANCS, OL13 9QR","Bath panel to be either replaced or refitted ","","General","","managar 1"
"","Complete","Bold St 21, Bacup, LANCS, OL13 9QR","Grout floor tiles to back room ","","General","","managar 1"
"","Complete","Bold St 21, Bacup, LANCS, OL13 9QR","Clean window to back room (paint on window)","","General","","managar 1"
"2016/1/14","Complete","Bold St 21, Bacup, LANCS, OL13 9QR","Floor boards in bedroom and bathroom need attention (just screwing / fitting) ","","General","","managar 1"
"","Complete","Bold St 21, Bacup, LANCS, OL13 9QR","Fit smoke alarms and co detector ","","General","","managar 1"
"","Complete","Bold St 21, Bacup, LANCS, OL13 9QR","Replace missing light bulbs ","","General","","managar 1"
"","Complete","Bold St 21, Bacup, LANCS, OL13 9QR","Door catch to bedroom door needs fitting (lying on floor) ","","General","","managar 1"
"","Complete","Bold St 21, Bacup, LANCS, OL13 9QR","Skirting behind toilet needs painting/cleaning ","","General","","managar 1"
"","Complete","Bold St 21, Bacup, LANCS, OL13 9QR","Bathroom needs cleaning. ","","General","","managar 1"
"","Needs pre-inspection","Bold St 21, Bacup, LANCS, OL13 9QR","Damp Issues:  Rot above front window needs addressing. Gary says water penetrating around window. Damp in rear room near boxed in water pipe needs looking at Damp patches on internal walls between the two downstairs rooms.   Damp patches on right hand wall in front living room – Shoshi has visited property together with Tony Bray. Tony Bray has sent a revised quote and we will need to discuss.","","UNDECIDED","","managar 1"
"","Contractor Assigned","Bold St 21, Bacup, LANCS, OL13 9QR","There is currently a debt of over £290 on the Gas Meter – Need to contact EON to sort","Refurb","THIRD PARTY","","managar 1"
"","Rejected","Bold St 21, Bacup, LANCS, OL13 9QR","Graham to carry out GSC before tenanting","Refurb","Gas engineer","","managar 1"
"","Work Commenced","Bolton Road 131, Westhoughton, Bolton, BL5 3DY","Tenant says base of bath needs siliconing.","Repair","General","","managar 1"
