"","","All Individuals receiving an adverse sanction decision","","","","","","","","",""
"","GREAT BRITAIN","14,601","","","","","","","","",""
"Age Group","16-17 years of age"," -","","","","","","","","",""
"","18-24 years of age","1,649","","","","","","","","",""
"","25-29  years of age","1,683","","","","","","","","",""
"","30-34  years of age","1,872","","","","","","","","",""
"","35-39  years of age","1,903","","","","","","","","",""
"","40-44 years of age","2,271","","","","","","","","",""
"","45-49 years of age","2,158","","","","","","","","",""
"","50-54 years of age","1,645","","","","","","","","",""
"","55-59 years of age","1,199","","","","","","","","",""
"","60 and over ","309","","","","","","","","",""
"","Unknown","18","","","","","","","","",""
"","","","","","","","","","","",""
"Ethnicity","White","11,458","","","","","","","","",""
"","Asian or Asian British","614","","","","","","","","",""
"","Black or Black British","697","","","","","","","","",""
"","Mixed","220","","","","","","","","",""
"","Other/ Chinese","296","","","","","","","","",""
"","Unknown","1,336","","","","","","","","",""
"","","","","","","","","","","",""
"Gender","Male","7,939","","","","","","","","",""
"","Female","6,656","","","","","","","","",""
"","Unknown"," -","","","","","","","","",""
"","","","","","","","","","","",""
"Disability","Disability - Yes","11,491","","","","","","","","",""
"","Disability - No","2,907","","","","","","","","",""
"","Disability - Unknown","198","","","","","","","","",""
"","","","","","","","","","","",""
"Regional Group","Central England","2,312","","","","","","","","",""
"","London and the Home Counties","4,022","","","","","","","","",""
"","North East","1,509","","","","","","","","",""
"","North West","3,068","","","","","","","","",""
"","Scotland","1,166","","","","","","","","",""
"","Southern England","1,536","","","","","","","","",""
"","Wales","949","","","","","","","","",""
"","Unknown","46","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Source: Decision Making and Appeals System (DMAS), via Stat-Xplore","","","","","","","","","","",""
"","","","","","","","","","","",""
"Notes:","","","","","","","","","","",""
"1    Cells in this table have been randomly adjusted to avoid the release of confidential data.  Due to adjustments totals may not be the sum of the individual cells.","","","","","","","","","","",""
"2    ""-"" dernotes a nil or negligible value","","","","","","","","","","",""
"3   Count of Adverse Sanction decisions for individuals since 3rd December 2012","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
